gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	Atypical NKT cells	CD8+ CD73+ regulatory T cells	CD8+ NK-like TEMRA cells	CD8+ NK-like early effector T cells	CD8+ TEMRA cells	CD8+ central memory T cells	CD8+ cycling effector T cells	CD8+ effector memory T cells 1	CD8+ effector memory T cells 2	CD8+ naive T cells	Gamma Delta T cells	MAIT cells
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0330D939A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.001	0.0	0.0
FGF7	P21781	False	FGF7_HUMAN		CPI-SS0E928B8C8	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.001	0.0	0.0	0.0	0.0
TIMP1	P01033	False	TIMP1_HUMAN		CPI-SS0735F5C3A	0.321	0.458	0.272	0.707	0.391	0.54	0.518	0.361	0.245	0.185	0.547	0.405
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS0348DB5E3	0.0	0.004	0.006	0.007	0.017	0.01	0.105	0.01	0.01	0.007	0.025	0.013
FGF2	P09038	False	FGF2_HUMAN		CPI-SS0CB6968B9	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0
CCL4	P13236	False	CCL4_HUMAN		CPI-SS0ADC886E5	1.469	0.051	1.155	0.048	1.171	0.106	0.829	0.835	1.196	0.007	1.349	0.599
TGFB1	P01137	False	TGFB1_HUMAN		CPI-SS085EE60B1	0.873	0.312	0.496	0.516	0.519	0.361	0.357	0.381	0.487	0.213	0.583	0.514
TGFB3	P10600	False	TGFB3_HUMAN		CPI-SS0D46E2B45	0.0	0.002	0.0	0.0	0.002	0.002	0.0	0.0	0.0	0.001	0.0	0.002
TGFB2	P61812	False	TGFB2_HUMAN		CPI-SS0178F5C45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002
FCER2	P06734	False	FCER2_HUMAN		CPI-SS000568A0E	0.0	0.0	0.0	0.005	0.001	0.001	0.0	0.001	0.0	0.0	0.0	0.002
L1CAM	P32004	False	L1CAM_HUMAN		CPI-SS0ACD487F0	0.0	0.0	0.0	0.002	0.0	0.001	0.0	0.001	0.0	0.0	0.0	0.0
JAM2	P57087	False	JAM2_HUMAN		CPI-SS087B53ABF	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0
JAM3	Q9BX67	False	JAM3_HUMAN		CPI-SS0F9D53834	0.0	0.031	0.023	0.013	0.007	0.014	0.021	0.015	0.0	0.018	0.0	0.006
HLA-C	HLAC	False	HLAC		CPI-SS034D36D2F	4.431	3.659	4.09	4.007	4.235	3.774	3.991	3.997	4.021	3.335	4.192	3.885
LAMP1	P11279	False	LAMP1_HUMAN		CPI-SS055E061C9	0.717	0.598	0.823	0.716	0.754	0.611	0.774	0.66	0.679	0.522	0.972	0.668
KIR2DL3	P43628	False	KI2L3_HUMAN		CPI-SS02CF96625	0.0	0.0	0.348	0.082	0.031	0.003	0.059	0.005	0.0	0.0	0.202	0.0
CXADR	P78310	False	CXAR_HUMAN		CPI-SS033CB0BB2	0.0	0.005	0.0	0.0	0.0	0.013	0.0	0.002	0.007	0.005	0.0	0.004
PDCD1	Q15116	False	PDCD1_HUMAN		CPI-SS0E2431C09	0.351	0.02	0.031	0.032	0.098	0.033	0.08	0.131	0.278	0.003	0.027	0.068
ADGRG5	Q8IZF4	False	AGRG5_HUMAN		CPI-SS0AFC7BACF	0.0	0.02	0.089	0.013	0.17	0.036	0.132	0.067	0.164	0.008	0.166	0.167
PGRMC2	O15173	False	PGRC2_HUMAN		CPI-SS0F3D40856	0.0	0.04	0.061	0.051	0.029	0.044	0.079	0.038	0.05	0.033	0.0	0.031
HLA-C	HLAC	False	HLAC		CPI-SS0917CBD53	4.431	3.659	4.09	4.007	4.235	3.774	3.991	3.997	4.021	3.335	4.192	3.885
HLA-C	HLAC	False	HLAC		CPI-SS0ABD11350	4.431	3.659	4.09	4.007	4.235	3.774	3.991	3.997	4.021	3.335	4.192	3.885
PDCD1	Q15116	False	PDCD1_HUMAN		CPI-SS016EE0084	0.351	0.02	0.031	0.032	0.098	0.033	0.08	0.131	0.278	0.003	0.027	0.068
PDCD1	Q15116	False	PDCD1_HUMAN		CPI-SS0F5B6B186	0.351	0.02	0.031	0.032	0.098	0.033	0.08	0.131	0.278	0.003	0.027	0.068
CD74	P04233	False	HG2A_HUMAN		CPI-SS0ABC5C1B8	1.518	1.166	2.525	1.95	2.056	1.787	2.836	2.757	3.273	1.143	1.913	2.112
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SS0D4C221B8	0.0	0.025	0.04	0.113	0.047	0.055	0.037	0.065	0.046	0.009	0.028	0.073
TNFRSF1A	P19438	False	TNR1A_HUMAN		CPI-SS0DA033F03	0.14	0.298	0.392	0.254	0.417	0.244	0.262	0.301	0.382	0.228	0.654	0.423
NTRK1	P04629	False	NTRK1_HUMAN		CPI-SS054D158CC	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.011	0.0	0.0	0.0
TNFRSF1B	P20333	False	TNR1B_HUMAN		CPI-SS0C4E86714	1.071	0.255	0.575	0.169	0.64	0.239	0.416	0.364	0.432	0.054	0.578	0.341
CD74	P04233	False	HG2A_HUMAN		CPI-SS0302E8E8F	1.518	1.166	2.525	1.95	2.056	1.787	2.836	2.757	3.273	1.143	1.913	2.112
NTRK1	P04629	False	NTRK1_HUMAN		CPI-SS0E6E8A727	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.011	0.0	0.0	0.0
CD44	P16070	False	CD44_HUMAN		CPI-SS0632A027A	0.96	0.723	0.694	0.772	0.708	0.759	0.77	0.838	0.891	0.691	0.388	0.814
HLA-DPB1	HLADPB1	False	HLADPB1		CPI-SS05D23BCE8	1.552	0.475	1.405	0.739	1.582	0.802	1.586	1.36	1.853	0.46	0.719	0.609
TNFRSF13B	O14836	False	TR13B_HUMAN		CPI-SS03C51D352	0.0	0.0	0.0	0.003	0.001	0.0	0.0	0.0	0.004	0.0	0.0	0.0
TFRC	P02786	False	TFR1_HUMAN		CPI-SS03133B4F2	0.0	0.028	0.041	0.028	0.031	0.035	0.036	0.024	0.045	0.029	0.0	0.031
CD40	P25942	False	TNR5_HUMAN		CPI-SS0F00D756A	0.0	0.026	0.07	0.033	0.022	0.021	0.0	0.024	0.006	0.02	0.05	0.026
TNFRSF13C	Q96RJ3	False	TR13C_HUMAN		CPI-SS09648FAA9	0.0	0.034	0.005	0.002	0.003	0.01	0.049	0.005	0.0	0.003	0.0	0.002
CD74	P04233	False	HG2A_HUMAN		CPI-SS09808DEAE	1.518	1.166	2.525	1.95	2.056	1.787	2.836	2.757	3.273	1.143	1.913	2.112
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SS09C4FCB90	0.0	0.025	0.04	0.113	0.047	0.055	0.037	0.065	0.046	0.009	0.028	0.073
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SS0E9A581F8	0.0	0.025	0.04	0.113	0.047	0.055	0.037	0.065	0.046	0.009	0.028	0.073
TNFRSF1A	P19438	False	TNR1A_HUMAN		CPI-SS0A4F27388	0.14	0.298	0.392	0.254	0.417	0.244	0.262	0.301	0.382	0.228	0.654	0.423
TNFRSF10B	O14763	False	TR10B_HUMAN		CPI-SS0049FD74F	0.18	0.029	0.017	0.018	0.023	0.021	0.061	0.037	0.041	0.02	0.0	0.026
TNFRSF6B	O95407	False	TNF6B_HUMAN		CPI-SS00086659A	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0
FAS	P25445	False	TNR6_HUMAN		CPI-SS03A0C857B	0.156	0.127	0.154	0.066	0.144	0.134	0.173	0.213	0.252	0.013	0.118	0.154
NTRK1	P04629	False	NTRK1_HUMAN		CPI-SS0B1AB068C	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.011	0.0	0.0	0.0
NTRK1	P04629	False	NTRK1_HUMAN		CPI-SS0391D4602	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.011	0.0	0.0	0.0
ADORA2A	P29274	False	AA2AR_HUMAN		CPI-SS00A6D366F	0.0	0.13	0.132	0.179	0.112	0.155	0.096	0.176	0.168	0.179	0.072	0.173
NTRK1	P04629	False	NTRK1_HUMAN		CPI-SS05D1A6BEF	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.011	0.0	0.0	0.0
NRP2	O60462	False	NRP2_HUMAN		CPI-SS0E00478B4	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0
NRP2	O60462	False	NRP2_HUMAN		CPI-SS0D22A09AD	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0
FLT1	P17948	False	VGFR1_HUMAN		CPI-SS0E61DB5DF	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.007	0.0	0.0
FLT1	P17948	False	VGFR1_HUMAN		CPI-SS0947A8549	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.007	0.0	0.0
ADRB2	P07550	False	ADRB2_HUMAN		CPI-SS098425155	0.606	0.041	0.479	0.284	0.575	0.109	0.549	0.288	0.281	0.004	0.474	0.529
HLA-A	HLAA	False	HLAA		CPI-SS0CBAA9BCC	4.279	3.61	4.066	3.965	4.108	3.786	3.933	3.977	4.145	3.416	4.105	3.876
HLA-F	P30511	False	HLAF_HUMAN		CPI-SS048242083	0.977	0.96	1.2	1.197	1.268	1.033	1.185	1.252	1.239	0.927	1.212	1.18
CCL4	P13236	False	CCL4_HUMAN		CPI-SS0268D47AD	1.469	0.051	1.155	0.048	1.171	0.106	0.829	0.835	1.196	0.007	1.349	0.599
CCL4L2	Q8NHW4	False	CC4L_HUMAN		CPI-SS0A866903F	0.0	0.041	0.442	0.018	0.442	0.046	0.393	0.425	0.47	0.001	0.494	0.213
CCL4L2	Q8NHW4	False	CC4L_HUMAN		CPI-SS0A42A3690	0.0	0.041	0.442	0.018	0.442	0.046	0.393	0.425	0.47	0.001	0.494	0.213
TNF	P01375	False	TNFA_HUMAN		CPI-SS03FA58286	0.14	0.007	0.02	0.012	0.064	0.034	0.03	0.057	0.066	0.004	0.0	0.153
HLA-F	P30511	False	HLAF_HUMAN		CPI-SS0BDD10277	0.977	0.96	1.2	1.197	1.268	1.033	1.185	1.252	1.239	0.927	1.212	1.18
HLA-B	HLAB	False	HLAB		CPI-SS0987A89AE	4.551	3.893	4.323	4.145	4.346	3.97	4.037	4.181	4.221	3.567	4.337	4.192
HLA-F	P30511	False	HLAF_HUMAN		CPI-SS0A76A8E97	0.977	0.96	1.2	1.197	1.268	1.033	1.185	1.252	1.239	0.927	1.212	1.18
HLA-G	P17693	False	HLAG_HUMAN		CPI-SS0DBA81CCF	0.0	0.029	0.013	0.042	0.029	0.033	0.074	0.023	0.053	0.018	0.036	0.02
HLA-F	P30511	False	HLAF_HUMAN		CPI-SS00150FB64	0.977	0.96	1.2	1.197	1.268	1.033	1.185	1.252	1.239	0.927	1.212	1.18
HLA-G	P17693	False	HLAG_HUMAN		CPI-SS05CE87F88	0.0	0.029	0.013	0.042	0.029	0.033	0.074	0.023	0.053	0.018	0.036	0.02
CCL4	P13236	False	CCL4_HUMAN		CPI-SS0D1D95883	1.469	0.051	1.155	0.048	1.171	0.106	0.829	0.835	1.196	0.007	1.349	0.599
CCL3	P10147	False	CCL3_HUMAN		CPI-SS0C090A257	0.0	0.0	0.165	0.0	0.06	0.0	0.053	0.021	0.029	0.001	0.369	0.006
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0B01D306C	4.004	4.057	3.88	2.876	3.931	3.297	3.531	3.855	4.121	0.202	2.875	3.399
CCL4	P13236	False	CCL4_HUMAN		CPI-SS0795802F6	1.469	0.051	1.155	0.048	1.171	0.106	0.829	0.835	1.196	0.007	1.349	0.599
CSF1	P09603	False	CSF1_HUMAN		CPI-SS03105D292	0.0	0.012	0.017	0.004	0.011	0.006	0.0	0.013	0.017	0.001	0.0	0.006
CCL4	P13236	False	CCL4_HUMAN		CPI-SS05BA6D9C3	1.469	0.051	1.155	0.048	1.171	0.106	0.829	0.835	1.196	0.007	1.349	0.599
CCL3	P10147	False	CCL3_HUMAN		CPI-SS076D8415B	0.0	0.0	0.165	0.0	0.06	0.0	0.053	0.021	0.029	0.001	0.369	0.006
IGF1	P05019	False	IGF1_HUMAN		CPI-SS0E41702C1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0
GRN	P28799	False	GRN_HUMAN		CPI-SS07CCAD9BF	0.0	0.082	0.118	0.131	0.136	0.109	0.126	0.111	0.096	0.071	0.105	0.078
COPA	P53621	False	COPA_HUMAN		CPI-SS04F3A1E5C	0.0	0.207	0.226	0.208	0.211	0.176	0.123	0.195	0.205	0.123	0.186	0.192
CD200	P41217	False	OX2G_HUMAN		CPI-SS0A9E884E0	0.0	0.0	0.005	0.032	0.0	0.009	0.0	0.001	0.017	0.007	0.025	0.0
KLRB1	Q12918	False	KLRB1_HUMAN		CPI-SS0E292C126	0.57	0.864	0.252	0.045	0.659	0.275	0.457	0.566	0.467	0.017	1.659	2.671
FAM3C	Q92520	False	FAM3C_HUMAN		CPI-SS02A0FF87F	0.18	0.139	0.169	0.172	0.118	0.086	0.155	0.095	0.053	0.082	0.14	0.171
TNF	P01375	False	TNFA_HUMAN		CPI-SS0F8EFEECF	0.14	0.007	0.02	0.012	0.064	0.034	0.03	0.057	0.066	0.004	0.0	0.153
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0BD9F32BA	0.0	0.044	0.085	0.047	0.054	0.081	0.17	0.049	0.162	0.037	0.286	0.038
TNF	P01375	False	TNFA_HUMAN		CPI-SS02EBC1BB0	0.14	0.007	0.02	0.012	0.064	0.034	0.03	0.057	0.066	0.004	0.0	0.153
DLL1	O00548	False	DLL1_HUMAN		CPI-SS04A5D6B6F	0.0	0.014	0.005	0.009	0.002	0.005	0.0	0.004	0.0	0.013	0.019	0.0
TNF	P01375	False	TNFA_HUMAN		CPI-SS0B81F1BF5	0.14	0.007	0.02	0.012	0.064	0.034	0.03	0.057	0.066	0.004	0.0	0.153
PLXNB2	O15031	False	PLXB2_HUMAN		CPI-SS0AB21032D	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.005	0.0	0.0
TNF	P01375	False	TNFA_HUMAN		CPI-SS09C917D22	0.14	0.007	0.02	0.012	0.064	0.034	0.03	0.057	0.066	0.004	0.0	0.153
TNF	P01375	False	TNFA_HUMAN		CPI-SS03B8E2D7A	0.14	0.007	0.02	0.012	0.064	0.034	0.03	0.057	0.066	0.004	0.0	0.153
ICOSLG	O75144	False	ICOSL_HUMAN		CPI-SS0E4B1484B	0.0	0.0	0.006	0.004	0.0	0.002	0.0	0.003	0.0	0.004	0.0	0.0
TNF	P01375	False	TNFA_HUMAN		CPI-SS04B4619D0	0.14	0.007	0.02	0.012	0.064	0.034	0.03	0.057	0.066	0.004	0.0	0.153
LTA	P01374	False	TNFB_HUMAN		CPI-SS084BE3E4B	0.0	0.143	0.057	0.093	0.053	0.132	0.04	0.068	0.095	0.216	0.103	0.104
TNFSF13	O75888	False	TNF13_HUMAN		CPI-SS0F9B3B259	0.0	0.003	0.0	0.0	0.002	0.0	0.032	0.001	0.0	0.02	0.0	0.0
TNF	P01375	False	TNFA_HUMAN		CPI-SS08B7D54A3	0.14	0.007	0.02	0.012	0.064	0.034	0.03	0.057	0.066	0.004	0.0	0.153
TNFSF13	O75888	False	TNF13_HUMAN		CPI-SS0A83A7E30	0.0	0.003	0.0	0.0	0.002	0.0	0.032	0.001	0.0	0.02	0.0	0.0
TNF	P01375	False	TNFA_HUMAN		CPI-SS0E7D5974D	0.14	0.007	0.02	0.012	0.064	0.034	0.03	0.057	0.066	0.004	0.0	0.153
LTA	P01374	False	TNFB_HUMAN		CPI-SS07D9A48A2	0.0	0.143	0.057	0.093	0.053	0.132	0.04	0.068	0.095	0.216	0.103	0.104
TNF	P01375	False	TNFA_HUMAN		CPI-SS048A2311A	0.14	0.007	0.02	0.012	0.064	0.034	0.03	0.057	0.066	0.004	0.0	0.153
LTA	P01374	False	TNFB_HUMAN		CPI-SS0D5C54214	0.0	0.143	0.057	0.093	0.053	0.132	0.04	0.068	0.095	0.216	0.103	0.104
TNFSF10	P50591	False	TNF10_HUMAN		CPI-SS0DEDA3567	0.0	0.145	0.143	0.204	0.141	0.282	0.353	0.193	0.255	0.087	0.288	0.205
TNF	P01375	False	TNFA_HUMAN		CPI-SS0FBC9234C	0.14	0.007	0.02	0.012	0.064	0.034	0.03	0.057	0.066	0.004	0.0	0.153
TNF	P01375	False	TNFA_HUMAN		CPI-SS034B442CE	0.14	0.007	0.02	0.012	0.064	0.034	0.03	0.057	0.066	0.004	0.0	0.153
CXCR3	P49682	False	CXCR3_HUMAN		CPI-SS0F8C664D9	0.0	0.94	0.615	1.376	0.504	0.89	0.866	0.894	0.917	0.218	0.55	0.416
CCR6	P51684	False	CCR6_HUMAN		CPI-SS07F015051	0.0	0.252	0.0	0.011	0.003	0.055	0.0	0.011	0.0	0.002	0.0	0.406
TNFRSF13B	O14836	False	TR13B_HUMAN		CPI-SS0DCA69916	0.0	0.0	0.0	0.003	0.001	0.0	0.0	0.0	0.004	0.0	0.0	0.0
TNFRSF13B	O14836	False	TR13B_HUMAN		CPI-SS0AA47D179	0.0	0.0	0.0	0.003	0.001	0.0	0.0	0.0	0.004	0.0	0.0	0.0
CD27	P26842	False	CD27_HUMAN		CPI-SS0D4BF6CA3	0.228	0.826	0.529	1.36	0.362	1.068	0.551	0.983	1.022	1.241	0.32	0.703
CD40	P25942	False	TNR5_HUMAN		CPI-SS083296041	0.0	0.026	0.07	0.033	0.022	0.021	0.0	0.024	0.006	0.02	0.05	0.026
CD40	P25942	False	TNR5_HUMAN		CPI-SS05834E385	0.0	0.026	0.07	0.033	0.022	0.021	0.0	0.024	0.006	0.02	0.05	0.026
HLA-DQB2	HLADQB2	False	HLADQB2		CPI-SS026776C89	0.0	0.021	0.019	0.002	0.007	0.018	0.029	0.024	0.017	0.007	0.0	0.012
HLA-DRB1	HLADRB1	False	HLADRB1		CPI-SS0EF0750A7	1.439	0.024	1.239	0.094	1.114	0.33	1.572	0.989	1.858	0.028	0.252	0.226
NGFR	P08138	False	TNR16_HUMAN		CPI-SS09F430F14	0.0	0.0	0.0	0.003	0.004	0.0	0.039	0.0	0.005	0.0	0.0	0.0
NOTCH2	Q04721	False	NOTC2_HUMAN		CPI-SS07D71C546	0.14	0.045	0.116	0.04	0.077	0.067	0.065	0.068	0.112	0.062	0.069	0.077
NOTCH2	Q04721	False	NOTC2_HUMAN		CPI-SS003C9A532	0.14	0.045	0.116	0.04	0.077	0.067	0.065	0.068	0.112	0.062	0.069	0.077
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS0607D1101	0.14	0.005	0.024	0.027	0.025	0.009	0.027	0.018	0.011	0.013	0.044	0.008
NOTCH4	Q99466	False	NOTC4_HUMAN		CPI-SS09D379E5B	0.0	0.002	0.005	0.002	0.001	0.0	0.0	0.001	0.0	0.002	0.0	0.003
NOTCH2	Q04721	False	NOTC2_HUMAN		CPI-SS02770D68F	0.14	0.045	0.116	0.04	0.077	0.067	0.065	0.068	0.112	0.062	0.069	0.077
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS08C3D27F7	0.14	0.005	0.024	0.027	0.025	0.009	0.027	0.018	0.011	0.013	0.044	0.008
NOTCH4	Q99466	False	NOTC4_HUMAN		CPI-SS05FEE05CB	0.0	0.002	0.005	0.002	0.001	0.0	0.0	0.001	0.0	0.002	0.0	0.003
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS0B87FE6E0	0.14	0.005	0.024	0.027	0.025	0.009	0.027	0.018	0.011	0.013	0.044	0.008
CD46	P15529	False	MCP_HUMAN		CPI-SS01A07768A	0.507	0.57	0.477	0.541	0.521	0.549	0.501	0.484	0.522	0.447	0.363	0.483
GPR25	O00155	False	GPR25_HUMAN		CPI-SS0EECD7662	0.0	0.172	0.148	0.02	0.069	0.075	0.059	0.013	0.078	0.001	0.054	0.044
CCL3	P10147	False	CCL3_HUMAN		CPI-SS08BFF4F9B	0.0	0.0	0.165	0.0	0.06	0.0	0.053	0.021	0.029	0.001	0.369	0.006
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0F6B529A1	4.004	4.057	3.88	2.876	3.931	3.297	3.531	3.855	4.121	0.202	2.875	3.399
CCL3L1	P16619	False	CL3L1_HUMAN		CPI-SS0C6311D2D	0.0	0.015	0.094	0.006	0.021	0.01	0.0	0.027	0.017	0.0	0.0	0.053
CCL3	P10147	False	CCL3_HUMAN		CPI-SS08DA48A5A	0.0	0.0	0.165	0.0	0.06	0.0	0.053	0.021	0.029	0.001	0.369	0.006
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0A021DB6E	4.004	4.057	3.88	2.876	3.931	3.297	3.531	3.855	4.121	0.202	2.875	3.399
CCL3L1	P16619	False	CL3L1_HUMAN		CPI-SS0817CE2B3	0.0	0.015	0.094	0.006	0.021	0.01	0.0	0.027	0.017	0.0	0.0	0.053
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0F3BF2B34	4.004	4.057	3.88	2.876	3.931	3.297	3.531	3.855	4.121	0.202	2.875	3.399
CCL25	O15444	False	CCL25_HUMAN		CPI-SS0CCD89E02	0.0	0.0	0.0	0.002	0.0	0.002	0.0	0.0	0.0	0.001	0.0	0.0
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0EA05941A	4.004	4.057	3.88	2.876	3.931	3.297	3.531	3.855	4.121	0.202	2.875	3.399
CCL3L1	P16619	False	CL3L1_HUMAN		CPI-SS04641FE5F	0.0	0.015	0.094	0.006	0.021	0.01	0.0	0.027	0.017	0.0	0.0	0.053
CXCL10	P02778	False	CXL10_HUMAN		CPI-SS0FDAB7BA8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0
PF4	P02776	False	PLF4_HUMAN		CPI-SS01A6823FA	0.0	0.0	0.0	0.003	0.002	0.001	0.0	0.001	0.0	0.001	0.0	0.0
CXCL10	P02778	False	CXL10_HUMAN		CPI-SS080683E15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0
PPBP	P02775	False	CXCL7_HUMAN		CPI-SS07AB1C381	0.0	0.0	0.004	0.006	0.005	0.002	0.0	0.004	0.003	0.0	0.0	0.002
CXCL3	P19876	False	CXCL3_HUMAN		CPI-SS0D04AE221	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0
PPBP	P02775	False	CXCL7_HUMAN		CPI-SS0C491A3C1	0.0	0.0	0.004	0.006	0.005	0.002	0.0	0.004	0.003	0.0	0.0	0.002
CXCL3	P19876	False	CXCL3_HUMAN		CPI-SS09185EA8F	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0
CCL25	O15444	False	CCL25_HUMAN		CPI-SS039863E62	0.0	0.0	0.0	0.002	0.0	0.002	0.0	0.0	0.0	0.001	0.0	0.0
NPPA	P01160	False	ANF_HUMAN		CPI-SS04A7BCE8D	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0
NPPA	P01160	False	ANF_HUMAN		CPI-SS0230EE330	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0
