gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	Atypical_NKT_cells	CD8+_CD73+_regulatory_T_cells	CD8+_NK-like_TEMRA_cells	CD8+_NK-like_early_effector_T_cells	CD8+_TEMRA_cells	CD8+_central_memory_T_cells	CD8+_cycling_effector_T_cells	CD8+_effector_memory_T_cells_1	CD8+_effector_memory_T_cells_2	CD8+_naive_T_cells	Gamma_Delta_T_cells	MAIT_cells
TNFRSF10A	O00220	False	TR10A_HUMAN		CPI-SS044CF7EAE	0.031	0.155	0.028	0.103	0.038	0.108	0.041	0.109	0.045	0.11	0.027	0.111
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0AC594A8E	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0D4CA5D92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGF5	P12034	False	FGF5_HUMAN		CPI-SS066347638	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGF7	P21781	False	FGF7_HUMAN		CPI-SS0D95D41D6	0.0	0.009	0.0	0.0	0.0	0.0	0.025	0.0	0.0	0.0	0.0	0.005
FGF17	O60258	False	FGF17_HUMAN		CPI-SS0467AFD8A	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0F2C6A4D4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CCL4	P13236	False	CCL4_HUMAN		CPI-SS0ADC886E5	0.604	0.034	1.337	0.189	1.214	0.006	0.789	0.884	1.171	0.002	1.018	0.642
TGFB1	P01137	False	TGFB1_HUMAN		CPI-SS085EE60B1	0.606	0.219	0.485	0.396	0.495	0.345	0.658	0.38	0.423	0.241	0.633	0.408
TGFB3	P10600	False	TGFB3_HUMAN		CPI-SS0D46E2B45	0.0	0.0	0.002	0.0	0.001	0.002	0.0	0.003	0.0	0.001	0.0	0.004
TGFB2	P61812	False	TGFB2_HUMAN		CPI-SS0178F5C45	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0
L1CAM	P32004	False	L1CAM_HUMAN		CPI-SS0ACD487F0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.003	0.0	0.0	0.0	0.0
JAM2	P57087	False	JAM2_HUMAN		CPI-SS087B53ABF	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0
JAM3	Q9BX67	False	JAM3_HUMAN		CPI-SS0F9D53834	0.0	0.019	0.002	0.008	0.004	0.007	0.0	0.005	0.004	0.008	0.0	0.005
HLA-C	HLAC	False	HLAC		CPI-SS034D36D2F	4.318	3.379	4.01	3.58	3.993	3.317	3.752	3.683	3.821	3.204	4.107	3.603
LAMP1	P11279	False	LAMP1_HUMAN		CPI-SS055E061C9	0.905	0.558	0.682	0.604	0.685	0.524	0.751	0.583	0.635	0.495	0.812	0.619
KIR2DL3	P43628	False	KI2L3_HUMAN		CPI-SS02CF96625	0.084	0.0	0.893	0.045	0.142	0.001	0.167	0.011	0.005	0.0	0.851	0.008
CXADR	P78310	False	CXAR_HUMAN		CPI-SS033CB0BB2	0.0	0.011	0.0	0.009	0.0	0.001	0.0	0.001	0.0	0.007	0.0	0.005
PDCD1	Q15116	False	PDCD1_HUMAN		CPI-SS0E2431C09	0.085	0.025	0.011	0.015	0.048	0.008	0.175	0.128	0.199	0.0	0.011	0.078
ADGRG5	Q8IZF4	False	AGRG5_HUMAN		CPI-SS0AFC7BACF	0.244	0.0	0.206	0.076	0.181	0.014	0.165	0.105	0.157	0.008	0.222	0.112
PGRMC2	O15173	False	PGRC2_HUMAN		CPI-SS0F3D40856	0.07	0.044	0.067	0.058	0.037	0.047	0.014	0.036	0.06	0.045	0.041	0.036
HLA-C	HLAC	False	HLAC		CPI-SS0917CBD53	4.318	3.379	4.01	3.58	3.993	3.317	3.752	3.683	3.821	3.204	4.107	3.603
HLA-C	HLAC	False	HLAC		CPI-SS0ABD11350	4.318	3.379	4.01	3.58	3.993	3.317	3.752	3.683	3.821	3.204	4.107	3.603
PDCD1	Q15116	False	PDCD1_HUMAN		CPI-SS016EE0084	0.085	0.025	0.011	0.015	0.048	0.008	0.175	0.128	0.199	0.0	0.011	0.078
CD80	P33681	False	CD80_HUMAN		CPI-SS08F13AD5C	0.0	0.0	0.0	0.009	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0
PDCD1	Q15116	False	PDCD1_HUMAN		CPI-SS0F5B6B186	0.085	0.025	0.011	0.015	0.048	0.008	0.175	0.128	0.199	0.0	0.011	0.078
CD74	P04233	False	HG2A_HUMAN		CPI-SS0ABC5C1B8	2.103	1.223	2.407	1.45	1.952	1.321	2.814	2.452	2.841	1.104	1.91	2.04
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SS0D4C221B8	0.035	0.048	0.067	0.025	0.039	0.015	0.035	0.045	0.045	0.01	0.032	0.082
TNFRSF1A	P19438	False	TNR1A_HUMAN		CPI-SS0DA033F03	0.311	0.092	0.371	0.161	0.303	0.092	0.201	0.216	0.217	0.124	0.384	0.289
NTRK1	P04629	False	NTRK1_HUMAN		CPI-SS054D158CC	0.0	0.0	0.0	0.0	0.001	0.001	0.0	0.0	0.006	0.0	0.0	0.0
TNFRSF1B	P20333	False	TNR1B_HUMAN		CPI-SS0C4E86714	0.612	0.251	0.421	0.247	0.521	0.268	0.528	0.357	0.5	0.158	0.473	0.356
CD74	P04233	False	HG2A_HUMAN		CPI-SS0302E8E8F	2.103	1.223	2.407	1.45	1.952	1.321	2.814	2.452	2.841	1.104	1.91	2.04
NTRK1	P04629	False	NTRK1_HUMAN		CPI-SS0E6E8A727	0.0	0.0	0.0	0.0	0.001	0.001	0.0	0.0	0.006	0.0	0.0	0.0
CD44	P16070	False	CD44_HUMAN		CPI-SS0632A027A	0.551	0.654	0.454	0.734	0.495	0.746	0.532	0.67	0.674	0.596	0.388	0.715
HLA-DPB1	HLADPB1	False	HLADPB1		CPI-SS05D23BCE8	1.793	0.375	1.412	0.552	1.425	0.358	1.201	1.094	1.419	0.253	0.809	0.481
TNFRSF13B	O14836	False	TR13B_HUMAN		CPI-SS03C51D352	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0
TFRC	P02786	False	TFR1_HUMAN		CPI-SS03133B4F2	0.008	0.027	0.028	0.052	0.026	0.032	0.0	0.031	0.05	0.019	0.007	0.029
CD40	P25942	False	TNR5_HUMAN		CPI-SS0F00D756A	0.022	0.008	0.047	0.009	0.033	0.006	0.022	0.019	0.019	0.01	0.073	0.029
TNFRSF13C	Q96RJ3	False	TR13C_HUMAN		CPI-SS09648FAA9	0.0	0.036	0.005	0.0	0.001	0.004	0.0	0.004	0.0	0.015	0.0	0.0
CD74	P04233	False	HG2A_HUMAN		CPI-SS09808DEAE	2.103	1.223	2.407	1.45	1.952	1.321	2.814	2.452	2.841	1.104	1.91	2.04
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SS09C4FCB90	0.035	0.048	0.067	0.025	0.039	0.015	0.035	0.045	0.045	0.01	0.032	0.082
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SS0E9A581F8	0.035	0.048	0.067	0.025	0.039	0.015	0.035	0.045	0.045	0.01	0.032	0.082
TNFRSF1A	P19438	False	TNR1A_HUMAN		CPI-SS0A4F27388	0.311	0.092	0.371	0.161	0.303	0.092	0.201	0.216	0.217	0.124	0.384	0.289
TNFRSF10B	O14763	False	TR10B_HUMAN		CPI-SS0049FD74F	0.009	0.026	0.025	0.014	0.02	0.017	0.028	0.021	0.01	0.019	0.0	0.014
TNFRSF6B	O95407	False	TNF6B_HUMAN		CPI-SS00086659A	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FAS	P25445	False	TNR6_HUMAN		CPI-SS03A0C857B	0.2	0.079	0.206	0.191	0.177	0.187	0.303	0.223	0.267	0.051	0.142	0.279
NTRK1	P04629	False	NTRK1_HUMAN		CPI-SS0B1AB068C	0.0	0.0	0.0	0.0	0.001	0.001	0.0	0.0	0.006	0.0	0.0	0.0
NTRK1	P04629	False	NTRK1_HUMAN		CPI-SS0391D4602	0.0	0.0	0.0	0.0	0.001	0.001	0.0	0.0	0.006	0.0	0.0	0.0
ADORA2A	P29274	False	AA2AR_HUMAN		CPI-SS00A6D366F	0.007	0.127	0.087	0.119	0.051	0.106	0.102	0.137	0.119	0.12	0.012	0.108
NTRK1	P04629	False	NTRK1_HUMAN		CPI-SS05D1A6BEF	0.0	0.0	0.0	0.0	0.001	0.001	0.0	0.0	0.006	0.0	0.0	0.0
CD44	P16070	False	CD44_HUMAN		CPI-SS06F83AE58	0.551	0.654	0.454	0.734	0.495	0.746	0.532	0.67	0.674	0.596	0.388	0.715
CEACAM1	P13688	False	CEAM1_HUMAN		CPI-SS0BDC04683	0.0	0.0	0.0	0.008	0.001	0.002	0.0	0.002	0.0	0.003	0.0	0.01
NRP2	O60462	False	NRP2_HUMAN		CPI-SS0E00478B4	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0
NRP2	O60462	False	NRP2_HUMAN		CPI-SS0D22A09AD	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0
FLT1	P17948	False	VGFR1_HUMAN		CPI-SS0E61DB5DF	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.005	0.0	0.0
FLT1	P17948	False	VGFR1_HUMAN		CPI-SS0947A8549	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.005	0.0	0.0
ADRB2	P07550	False	ADRB2_HUMAN		CPI-SS098425155	0.457	0.022	0.247	0.09	0.406	0.003	0.188	0.173	0.298	0.003	0.31	0.429
HLA-A	HLAA	False	HLAA		CPI-SS0CBAA9BCC	4.32	3.611	4.158	3.755	4.088	3.537	3.892	3.887	4.059	3.358	4.149	3.798
HLA-F	P30511	False	HLAF_HUMAN		CPI-SS048242083	1.369	1.055	1.291	0.923	1.274	0.933	1.075	1.088	1.257	0.944	1.241	1.189
CCL4	P13236	False	CCL4_HUMAN		CPI-SS0268D47AD	0.604	0.034	1.337	0.189	1.214	0.006	0.789	0.884	1.171	0.002	1.018	0.642
CCL4L2	Q8NHW4	False	CC4L_HUMAN		CPI-SS0A866903F	0.183	0.006	0.513	0.055	0.404	0.001	0.286	0.368	0.327	0.0	0.232	0.173
CCL4L2	Q8NHW4	False	CC4L_HUMAN		CPI-SS0A42A3690	0.183	0.006	0.513	0.055	0.404	0.001	0.286	0.368	0.327	0.0	0.232	0.173
TNF	P01375	False	TNFA_HUMAN		CPI-SS03FA58286	0.016	0.015	0.052	0.069	0.045	0.047	0.065	0.038	0.024	0.01	0.0	0.136
HLA-F	P30511	False	HLAF_HUMAN		CPI-SS0BDD10277	1.369	1.055	1.291	0.923	1.274	0.933	1.075	1.088	1.257	0.944	1.241	1.189
HLA-B	HLAB	False	HLAB		CPI-SS0987A89AE	4.49	3.798	4.48	4.042	4.531	3.683	4.144	4.214	4.425	3.556	4.439	4.608
HLA-F	P30511	False	HLAF_HUMAN		CPI-SS0A76A8E97	1.369	1.055	1.291	0.923	1.274	0.933	1.075	1.088	1.257	0.944	1.241	1.189
HLA-G	P17693	False	HLAG_HUMAN		CPI-SS0DBA81CCF	0.017	0.03	0.017	0.015	0.021	0.019	0.03	0.015	0.009	0.024	0.043	0.01
HLA-F	P30511	False	HLAF_HUMAN		CPI-SS00150FB64	1.369	1.055	1.291	0.923	1.274	0.933	1.075	1.088	1.257	0.944	1.241	1.189
HLA-G	P17693	False	HLAG_HUMAN		CPI-SS05CE87F88	0.017	0.03	0.017	0.015	0.021	0.019	0.03	0.015	0.009	0.024	0.043	0.01
CCL4	P13236	False	CCL4_HUMAN		CPI-SS0D1D95883	0.604	0.034	1.337	0.189	1.214	0.006	0.789	0.884	1.171	0.002	1.018	0.642
CCL3	P10147	False	CCL3_HUMAN		CPI-SS0C090A257	0.034	0.0	0.47	0.018	0.199	0.001	0.304	0.129	0.118	0.001	0.233	0.01
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0B01D306C	3.534	3.146	3.859	2.02	3.834	0.166	3.235	3.385	3.971	0.228	3.409	3.175
CCL4	P13236	False	CCL4_HUMAN		CPI-SS0795802F6	0.604	0.034	1.337	0.189	1.214	0.006	0.789	0.884	1.171	0.002	1.018	0.642
CSF1	P09603	False	CSF1_HUMAN		CPI-SS03105D292	0.0	0.007	0.023	0.021	0.004	0.008	0.014	0.012	0.0	0.002	0.0	0.017
CCL4	P13236	False	CCL4_HUMAN		CPI-SS05BA6D9C3	0.604	0.034	1.337	0.189	1.214	0.006	0.789	0.884	1.171	0.002	1.018	0.642
CCL4	P13236	False	CCL4_HUMAN		CPI-SS008F83E02	0.604	0.034	1.337	0.189	1.214	0.006	0.789	0.884	1.171	0.002	1.018	0.642
CCL3	P10147	False	CCL3_HUMAN		CPI-SS076D8415B	0.034	0.0	0.47	0.018	0.199	0.001	0.304	0.129	0.118	0.001	0.233	0.01
IGF1	P05019	False	IGF1_HUMAN		CPI-SS0E41702C1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0
GRN	P28799	False	GRN_HUMAN		CPI-SS07CCAD9BF	0.19	0.048	0.145	0.073	0.151	0.092	0.18	0.106	0.111	0.093	0.183	0.12
COPA	P53621	False	COPA_HUMAN		CPI-SS04F3A1E5C	0.195	0.115	0.201	0.183	0.186	0.117	0.092	0.187	0.217	0.116	0.132	0.248
CD200	P41217	False	OX2G_HUMAN		CPI-SS0A9E884E0	0.0	0.0	0.009	0.027	0.001	0.003	0.0	0.001	0.0	0.009	0.0	0.0
KLRB1	Q12918	False	KLRB1_HUMAN		CPI-SS0E292C126	2.215	0.258	1.36	0.082	0.558	0.034	0.604	0.496	0.685	0.026	1.465	2.272
FAM3C	Q92520	False	FAM3C_HUMAN		CPI-SS02A0FF87F	0.052	0.095	0.155	0.122	0.114	0.068	0.074	0.103	0.095	0.055	0.209	0.157
CCL4L2	Q8NHW4	False	CC4L_HUMAN		CPI-SS07A97B3E2	0.183	0.006	0.513	0.055	0.404	0.001	0.286	0.368	0.327	0.0	0.232	0.173
TNF	P01375	False	TNFA_HUMAN		CPI-SS0F8EFEECF	0.016	0.015	0.052	0.069	0.045	0.047	0.065	0.038	0.024	0.01	0.0	0.136
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0BD9F32BA	0.0	0.081	0.218	0.106	0.128	0.15	0.471	0.149	0.427	0.075	0.219	0.125
TNF	P01375	False	TNFA_HUMAN		CPI-SS02EBC1BB0	0.016	0.015	0.052	0.069	0.045	0.047	0.065	0.038	0.024	0.01	0.0	0.136
DLL1	O00548	False	DLL1_HUMAN		CPI-SS04A5D6B6F	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.002	0.0	0.001	0.0	0.0
TNF	P01375	False	TNFA_HUMAN		CPI-SS0B81F1BF5	0.016	0.015	0.052	0.069	0.045	0.047	0.065	0.038	0.024	0.01	0.0	0.136
PLXNB2	O15031	False	PLXB2_HUMAN		CPI-SS0AB21032D	0.008	0.0	0.0	0.01	0.001	0.0	0.0	0.0	0.0	0.002	0.0	0.0
TNF	P01375	False	TNFA_HUMAN		CPI-SS09C917D22	0.016	0.015	0.052	0.069	0.045	0.047	0.065	0.038	0.024	0.01	0.0	0.136
TNF	P01375	False	TNFA_HUMAN		CPI-SS03B8E2D7A	0.016	0.015	0.052	0.069	0.045	0.047	0.065	0.038	0.024	0.01	0.0	0.136
ICOSLG	O75144	False	ICOSL_HUMAN		CPI-SS0E4B1484B	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.002	0.0	0.001	0.0	0.0
TNF	P01375	False	TNFA_HUMAN		CPI-SS04B4619D0	0.016	0.015	0.052	0.069	0.045	0.047	0.065	0.038	0.024	0.01	0.0	0.136
LTA	P01374	False	TNFB_HUMAN		CPI-SS084BE3E4B	0.045	0.18	0.079	0.197	0.075	0.175	0.014	0.075	0.076	0.221	0.107	0.144
TNFSF13	O75888	False	TNF13_HUMAN		CPI-SS0F9B3B259	0.0	0.0	0.006	0.0	0.004	0.002	0.0	0.001	0.0	0.006	0.0	0.0
TNF	P01375	False	TNFA_HUMAN		CPI-SS08B7D54A3	0.016	0.015	0.052	0.069	0.045	0.047	0.065	0.038	0.024	0.01	0.0	0.136
TNFSF13	O75888	False	TNF13_HUMAN		CPI-SS0A83A7E30	0.0	0.0	0.006	0.0	0.004	0.002	0.0	0.001	0.0	0.006	0.0	0.0
TNF	P01375	False	TNFA_HUMAN		CPI-SS0E7D5974D	0.016	0.015	0.052	0.069	0.045	0.047	0.065	0.038	0.024	0.01	0.0	0.136
LTA	P01374	False	TNFB_HUMAN		CPI-SS07D9A48A2	0.045	0.18	0.079	0.197	0.075	0.175	0.014	0.075	0.076	0.221	0.107	0.144
TNF	P01375	False	TNFA_HUMAN		CPI-SS048A2311A	0.016	0.015	0.052	0.069	0.045	0.047	0.065	0.038	0.024	0.01	0.0	0.136
LTA	P01374	False	TNFB_HUMAN		CPI-SS0D5C54214	0.045	0.18	0.079	0.197	0.075	0.175	0.014	0.075	0.076	0.221	0.107	0.144
TNFSF10	P50591	False	TNF10_HUMAN		CPI-SS0DEDA3567	0.16	0.136	0.186	0.474	0.133	0.544	0.391	0.252	0.355	0.176	0.19	0.351
TNF	P01375	False	TNFA_HUMAN		CPI-SS0FBC9234C	0.016	0.015	0.052	0.069	0.045	0.047	0.065	0.038	0.024	0.01	0.0	0.136
TNF	P01375	False	TNFA_HUMAN		CPI-SS034B442CE	0.016	0.015	0.052	0.069	0.045	0.047	0.065	0.038	0.024	0.01	0.0	0.136
CXCR3	P49682	False	CXCR3_HUMAN		CPI-SS0F8C664D9	0.072	0.503	0.085	0.758	0.124	0.109	0.401	0.42	0.476	0.103	0.064	0.177
CCR6	P51684	False	CCR6_HUMAN		CPI-SS07F015051	0.0	0.14	0.005	0.016	0.003	0.013	0.0	0.007	0.0	0.003	0.015	0.547
TNFRSF13B	O14836	False	TR13B_HUMAN		CPI-SS0DCA69916	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0
TNFRSF13B	O14836	False	TR13B_HUMAN		CPI-SS0AA47D179	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0
CD27	P26842	False	CD27_HUMAN		CPI-SS0D4BF6CA3	0.0	0.86	0.113	0.798	0.103	0.69	0.344	0.737	0.555	0.954	0.029	0.596
CD40	P25942	False	TNR5_HUMAN		CPI-SS083296041	0.022	0.008	0.047	0.009	0.033	0.006	0.022	0.019	0.019	0.01	0.073	0.029
CD40	P25942	False	TNR5_HUMAN		CPI-SS05834E385	0.022	0.008	0.047	0.009	0.033	0.006	0.022	0.019	0.019	0.01	0.073	0.029
HLA-DQB2	HLADQB2	False	HLADQB2		CPI-SS026776C89	0.015	0.058	0.012	0.026	0.008	0.037	0.018	0.045	0.004	0.024	0.0	0.01
HLA-DRB1	HLADRB1	False	HLADRB1		CPI-SS0EF0750A7	0.698	0.147	0.768	0.299	0.727	0.337	1.337	0.832	1.257	0.083	0.349	0.186
NGFR	P08138	False	TNR16_HUMAN		CPI-SS09F430F14	0.009	0.0	0.005	0.0	0.004	0.0	0.0	0.001	0.0	0.0	0.0	0.005
NOTCH2	Q04721	False	NOTC2_HUMAN		CPI-SS07D71C546	0.088	0.064	0.083	0.073	0.074	0.038	0.139	0.064	0.063	0.056	0.093	0.035
NOTCH2	Q04721	False	NOTC2_HUMAN		CPI-SS003C9A532	0.088	0.064	0.083	0.073	0.074	0.038	0.139	0.064	0.063	0.056	0.093	0.035
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS0607D1101	0.054	0.008	0.034	0.008	0.03	0.009	0.0	0.011	0.026	0.013	0.071	0.029
NOTCH4	Q99466	False	NOTC4_HUMAN		CPI-SS09D379E5B	0.0	0.0	0.006	0.0	0.002	0.003	0.0	0.007	0.0	0.0	0.0	0.0
NOTCH2	Q04721	False	NOTC2_HUMAN		CPI-SS02770D68F	0.088	0.064	0.083	0.073	0.074	0.038	0.139	0.064	0.063	0.056	0.093	0.035
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS08C3D27F7	0.054	0.008	0.034	0.008	0.03	0.009	0.0	0.011	0.026	0.013	0.071	0.029
NOTCH4	Q99466	False	NOTC4_HUMAN		CPI-SS05FEE05CB	0.0	0.0	0.006	0.0	0.002	0.003	0.0	0.007	0.0	0.0	0.0	0.0
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS0B87FE6E0	0.054	0.008	0.034	0.008	0.03	0.009	0.0	0.011	0.026	0.013	0.071	0.029
CD46	P15529	False	MCP_HUMAN		CPI-SS01A07768A	0.472	0.383	0.39	0.363	0.415	0.277	0.225	0.37	0.343	0.299	0.345	0.467
GPR25	O00155	False	GPR25_HUMAN		CPI-SS0EECD7662	0.031	0.011	0.018	0.008	0.034	0.002	0.02	0.0	0.005	0.0	0.052	0.014
CCL3	P10147	False	CCL3_HUMAN		CPI-SS08BFF4F9B	0.034	0.0	0.47	0.018	0.199	0.001	0.304	0.129	0.118	0.001	0.233	0.01
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0F6B529A1	3.534	3.146	3.859	2.02	3.834	0.166	3.235	3.385	3.971	0.228	3.409	3.175
CCL3L1	P16619	False	CL3L1_HUMAN		CPI-SS0C6311D2D	0.0	0.0	0.054	0.008	0.028	0.0	0.014	0.071	0.052	0.0	0.0	0.131
CCL3	P10147	False	CCL3_HUMAN		CPI-SS08DA48A5A	0.034	0.0	0.47	0.018	0.199	0.001	0.304	0.129	0.118	0.001	0.233	0.01
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0A021DB6E	3.534	3.146	3.859	2.02	3.834	0.166	3.235	3.385	3.971	0.228	3.409	3.175
CCL3L1	P16619	False	CL3L1_HUMAN		CPI-SS0817CE2B3	0.0	0.0	0.054	0.008	0.028	0.0	0.014	0.071	0.052	0.0	0.0	0.131
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0F3BF2B34	3.534	3.146	3.859	2.02	3.834	0.166	3.235	3.385	3.971	0.228	3.409	3.175
CCL25	O15444	False	CCL25_HUMAN		CPI-SS0CCD89E02	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.002	0.0	0.0
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0EA05941A	3.534	3.146	3.859	2.02	3.834	0.166	3.235	3.385	3.971	0.228	3.409	3.175
CCL3L1	P16619	False	CL3L1_HUMAN		CPI-SS04641FE5F	0.0	0.0	0.054	0.008	0.028	0.0	0.014	0.071	0.052	0.0	0.0	0.131
PF4	P02776	False	PLF4_HUMAN		CPI-SS01A6823FA	0.0	0.0	0.003	0.0	0.003	0.001	0.0	0.0	0.0	0.0	0.0	0.0
PPBP	P02775	False	CXCL7_HUMAN		CPI-SS07AB1C381	0.009	0.0	0.004	0.0	0.009	0.002	0.0	0.006	0.008	0.0	0.0	0.0
CXCL3	P19876	False	CXCL3_HUMAN		CPI-SS0D04AE221	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0
PPBP	P02775	False	CXCL7_HUMAN		CPI-SS0C491A3C1	0.009	0.0	0.004	0.0	0.009	0.002	0.0	0.006	0.008	0.0	0.0	0.0
CXCL3	P19876	False	CXCL3_HUMAN		CPI-SS09185EA8F	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0
CCL25	O15444	False	CCL25_HUMAN		CPI-SS039863E62	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.002	0.0	0.0
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0419B80C4	0.0	0.081	0.218	0.106	0.128	0.15	0.471	0.149	0.427	0.075	0.219	0.125
PDGFB	P01127	False	PDGFB_HUMAN		CPI-SS02928C71A	0.013	0.0	0.03	0.019	0.023	0.004	0.0	0.05	0.011	0.007	0.015	0.026
MDK	P21741	False	MK_HUMAN		CPI-SS006C6537E	0.0	0.0	0.007	0.008	0.004	0.003	0.0	0.004	0.009	0.004	0.014	0.0
