gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	Atypical NKT cells	CD8+ CD73+ regulatory T cells	CD8+ NK-like TEMRA cells	CD8+ NK-like early effector T cells	CD8+ TEMRA cells	CD8+ central memory T cells	CD8+ cycling effector T cells	CD8+ effector memory T cells 1	CD8+ effector memory T cells 2	CD8+ exhausted T cells	CD8+ naive T cells	Gamma Delta T cells	MAIT cells
TNFRSF13C	Q96RJ3	False	TR13C_HUMAN		CPI-SS09648FAA9	0.0	0.0	0.003	0.015	0.002	0.002	0.0	0.006	0.003	0.0	0.002	0.006	0.004
CD74	P04233	False	HG2A_HUMAN		CPI-SS09808DEAE	1.84	1.172	2.887	2.359	2.875	1.805	3.316	3.37	3.465	3.72	1.448	1.881	2.42
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SS09C4FCB90	0.0	0.018	0.069	0.017	0.026	0.026	0.012	0.046	0.041	0.0	0.024	0.037	0.047
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SS0E9A581F8	0.0	0.018	0.069	0.017	0.026	0.026	0.012	0.046	0.041	0.0	0.024	0.037	0.047
TNFRSF1A	P19438	False	TNR1A_HUMAN		CPI-SS0A4F27388	0.797	0.164	0.303	0.204	0.314	0.118	0.368	0.251	0.328	0.0	0.16	0.496	0.263
TNFRSF10B	O14763	False	TR10B_HUMAN		CPI-SS0049FD74F	0.0	0.047	0.035	0.035	0.014	0.018	0.008	0.027	0.01	0.0	0.02	0.011	0.031
TNFRSF6B	O95407	False	TNF6B_HUMAN		CPI-SS00086659A	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.001	0.001	0.0	0.003	0.0	0.0
FAS	P25445	False	TNR6_HUMAN		CPI-SS03A0C857B	0.231	0.195	0.26	0.138	0.2	0.222	0.211	0.299	0.218	0.751	0.064	0.106	0.192
NTRK1	P04629	False	NTRK1_HUMAN		CPI-SS0B1AB068C	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.002	0.0	0.0
NTRK1	P04629	False	NTRK1_HUMAN		CPI-SS0391D4602	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.002	0.0	0.0
ADORA2A	P29274	False	AA2AR_HUMAN		CPI-SS00A6D366F	0.0	0.103	0.081	0.247	0.061	0.077	0.073	0.115	0.087	0.0	0.128	0.005	0.122
NTRK1	P04629	False	NTRK1_HUMAN		CPI-SS05D1A6BEF	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.002	0.0	0.0
NRP1	O14786	False	NRP1_HUMAN		CPI-SS0DE0A486F	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0
NRP1	O14786	False	NRP1_HUMAN		CPI-SS0855C0353	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0
FLT1	P17948	False	VGFR1_HUMAN		CPI-SS0E61DB5DF	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0
NRP1	O14786	False	NRP1_HUMAN		CPI-SS033E6DE7E	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0
FLT1	P17948	False	VGFR1_HUMAN		CPI-SS0947A8549	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0
ADRB2	P07550	False	ADRB2_HUMAN		CPI-SS098425155	0.818	0.095	0.321	0.289	0.325	0.026	0.153	0.188	0.165	0.0	0.048	0.49	0.332
HLA-A	HLAA	False	HLAA		CPI-SS0CBAA9BCC	4.221	3.415	3.904	3.773	3.918	3.494	3.653	3.81	3.884	3.51	3.379	4.107	3.75
HLA-F	P30511	False	HLAF_HUMAN		CPI-SS048242083	0.572	0.974	1.182	1.206	1.262	1.029	1.097	1.182	1.186	1.175	0.959	1.046	1.027
CCL4L2	Q8NHW4	False	CC4L_HUMAN		CPI-SS0A42A3690	0.0	0.045	0.693	0.148	0.397	0.044	0.239	0.478	0.226	0.0	0.05	0.282	0.22
TNF	P01375	False	TNFA_HUMAN		CPI-SS03FA58286	0.0	0.0	0.024	0.046	0.018	0.015	0.022	0.023	0.018	0.0	0.003	0.005	0.095
HLA-F	P30511	False	HLAF_HUMAN		CPI-SS0BDD10277	0.572	0.974	1.182	1.206	1.262	1.029	1.097	1.182	1.186	1.175	0.959	1.046	1.027
HLA-B	HLAB	False	HLAB		CPI-SS0987A89AE	4.383	3.915	4.327	4.179	4.412	3.818	4.147	4.169	4.227	3.665	3.674	4.359	4.139
HLA-F	P30511	False	HLAF_HUMAN		CPI-SS0A76A8E97	0.572	0.974	1.182	1.206	1.262	1.029	1.097	1.182	1.186	1.175	0.959	1.046	1.027
HLA-G	P17693	False	HLAG_HUMAN		CPI-SS0DBA81CCF	0.0	0.0	0.004	0.016	0.016	0.006	0.004	0.013	0.012	0.0	0.005	0.011	0.0
HLA-F	P30511	False	HLAF_HUMAN		CPI-SS00150FB64	0.572	0.974	1.182	1.206	1.262	1.029	1.097	1.182	1.186	1.175	0.959	1.046	1.027
HLA-G	P17693	False	HLAG_HUMAN		CPI-SS05CE87F88	0.0	0.0	0.004	0.016	0.016	0.006	0.004	0.013	0.012	0.0	0.005	0.011	0.0
CCL4	P13236	False	CCL4_HUMAN		CPI-SS0D1D95883	1.407	0.225	1.359	0.444	1.056	0.129	0.923	1.09	1.219	0.0	0.152	1.876	0.97
CCL3	P10147	False	CCL3_HUMAN		CPI-SS0C090A257	0.0	0.0	0.492	0.015	0.095	0.008	0.101	0.15	0.087	0.0	0.007	0.3	0.065
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0B01D306C	4.222	3.828	4.042	3.774	4.102	1.39	3.718	4.033	4.336	0.0	1.17	3.502	3.359
CCL4	P13236	False	CCL4_HUMAN		CPI-SS0795802F6	1.407	0.225	1.359	0.444	1.056	0.129	0.923	1.09	1.219	0.0	0.152	1.876	0.97
CSF1	P09603	False	CSF1_HUMAN		CPI-SS03105D292	0.0	0.0	0.02	0.0	0.005	0.008	0.006	0.01	0.006	0.0	0.003	0.006	0.022
CCL4	P13236	False	CCL4_HUMAN		CPI-SS05BA6D9C3	1.407	0.225	1.359	0.444	1.056	0.129	0.923	1.09	1.219	0.0	0.152	1.876	0.97
CCL3	P10147	False	CCL3_HUMAN		CPI-SS076D8415B	0.0	0.0	0.492	0.015	0.095	0.008	0.101	0.15	0.087	0.0	0.007	0.3	0.065
IGF1	P05019	False	IGF1_HUMAN		CPI-SS0E41702C1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0
GRN	P28799	False	GRN_HUMAN		CPI-SS07CCAD9BF	0.0	0.041	0.089	0.098	0.116	0.093	0.155	0.075	0.1	0.0	0.075	0.157	0.079
COPA	P53621	False	COPA_HUMAN		CPI-SS04F3A1E5C	0.504	0.154	0.196	0.291	0.188	0.147	0.274	0.165	0.23	0.0	0.105	0.188	0.171
CD200	P41217	False	OX2G_HUMAN		CPI-SS0A9E884E0	0.0	0.0	0.003	0.0	0.0	0.003	0.004	0.0	0.0	0.0	0.002	0.0	0.0
KLRB1	Q12918	False	KLRB1_HUMAN		CPI-SS0E292C126	0.272	0.648	0.663	0.109	0.366	0.079	0.194	0.312	0.203	0.0	0.08	1.845	1.83
FAM3C	Q92520	False	FAM3C_HUMAN		CPI-SS02A0FF87F	0.0	0.063	0.135	0.124	0.067	0.068	0.083	0.072	0.073	0.0	0.06	0.184	0.087
TNF	P01375	False	TNFA_HUMAN		CPI-SS0F8EFEECF	0.0	0.0	0.024	0.046	0.018	0.015	0.022	0.023	0.018	0.0	0.003	0.005	0.095
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0BD9F32BA	0.0	0.026	0.138	0.1	0.121	0.107	0.13	0.116	0.261	0.0	0.077	0.184	0.077
TNF	P01375	False	TNFA_HUMAN		CPI-SS02EBC1BB0	0.0	0.0	0.024	0.046	0.018	0.015	0.022	0.023	0.018	0.0	0.003	0.005	0.095
TNF	P01375	False	TNFA_HUMAN		CPI-SS0B81F1BF5	0.0	0.0	0.024	0.046	0.018	0.015	0.022	0.023	0.018	0.0	0.003	0.005	0.095
PLXNB2	O15031	False	PLXB2_HUMAN		CPI-SS0AB21032D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0
TNF	P01375	False	TNFA_HUMAN		CPI-SS09C917D22	0.0	0.0	0.024	0.046	0.018	0.015	0.022	0.023	0.018	0.0	0.003	0.005	0.095
TNF	P01375	False	TNFA_HUMAN		CPI-SS03B8E2D7A	0.0	0.0	0.024	0.046	0.018	0.015	0.022	0.023	0.018	0.0	0.003	0.005	0.095
ICOSLG	O75144	False	ICOSL_HUMAN		CPI-SS0E4B1484B	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.003	0.0	0.0
TNF	P01375	False	TNFA_HUMAN		CPI-SS04B4619D0	0.0	0.0	0.024	0.046	0.018	0.015	0.022	0.023	0.018	0.0	0.003	0.005	0.095
LTA	P01374	False	TNFB_HUMAN		CPI-SS084BE3E4B	0.0	0.139	0.077	0.044	0.053	0.104	0.038	0.055	0.09	0.0	0.16	0.0	0.071
TNFSF13	O75888	False	TNF13_HUMAN		CPI-SS0F9B3B259	0.0	0.0	0.004	0.0	0.001	0.0	0.0	0.003	0.0	0.0	0.019	0.0	0.004
TNF	P01375	False	TNFA_HUMAN		CPI-SS08B7D54A3	0.0	0.0	0.024	0.046	0.018	0.015	0.022	0.023	0.018	0.0	0.003	0.005	0.095
TNFSF13	O75888	False	TNF13_HUMAN		CPI-SS0A83A7E30	0.0	0.0	0.004	0.0	0.001	0.0	0.0	0.003	0.0	0.0	0.019	0.0	0.004
TNF	P01375	False	TNFA_HUMAN		CPI-SS0E7D5974D	0.0	0.0	0.024	0.046	0.018	0.015	0.022	0.023	0.018	0.0	0.003	0.005	0.095
LTA	P01374	False	TNFB_HUMAN		CPI-SS07D9A48A2	0.0	0.139	0.077	0.044	0.053	0.104	0.038	0.055	0.09	0.0	0.16	0.0	0.071
TNF	P01375	False	TNFA_HUMAN		CPI-SS048A2311A	0.0	0.0	0.024	0.046	0.018	0.015	0.022	0.023	0.018	0.0	0.003	0.005	0.095
LTA	P01374	False	TNFB_HUMAN		CPI-SS0D5C54214	0.0	0.139	0.077	0.044	0.053	0.104	0.038	0.055	0.09	0.0	0.16	0.0	0.071
TNFSF10	P50591	False	TNF10_HUMAN		CPI-SS0DEDA3567	0.0	0.171	0.113	0.253	0.171	0.538	0.292	0.285	0.389	0.0	0.212	0.221	0.28
TNF	P01375	False	TNFA_HUMAN		CPI-SS0FBC9234C	0.0	0.0	0.024	0.046	0.018	0.015	0.022	0.023	0.018	0.0	0.003	0.005	0.095
TNF	P01375	False	TNFA_HUMAN		CPI-SS034B442CE	0.0	0.0	0.024	0.046	0.018	0.015	0.022	0.023	0.018	0.0	0.003	0.005	0.095
CXCR3	P49682	False	CXCR3_HUMAN		CPI-SS0F8C664D9	0.379	0.575	0.146	0.736	0.242	0.348	0.424	0.504	0.513	1.7	0.226	0.085	0.285
CCR6	P51684	False	CCR6_HUMAN		CPI-SS07F015051	0.0	0.208	0.004	0.0	0.0	0.026	0.0	0.005	0.0	0.0	0.004	0.007	0.339
TNFRSF13B	O14836	False	TR13B_HUMAN		CPI-SS0DCA69916	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.002	0.0	0.0	0.0	0.0
TNFRSF13B	O14836	False	TR13B_HUMAN		CPI-SS0AA47D179	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.002	0.0	0.0	0.0	0.0
CD27	P26842	False	CD27_HUMAN		CPI-SS0D4BF6CA3	0.379	0.703	0.207	0.578	0.504	0.686	0.615	0.829	1.095	2.043	0.871	0.08	0.691
CD40	P25942	False	TNR5_HUMAN		CPI-SS083296041	0.0	0.0	0.028	0.0	0.013	0.008	0.004	0.009	0.005	0.0	0.011	0.042	0.028
CD40	P25942	False	TNR5_HUMAN		CPI-SS05834E385	0.0	0.0	0.028	0.0	0.013	0.008	0.004	0.009	0.005	0.0	0.011	0.042	0.028
HLA-DRB1	HLADRB1	False	HLADRB1		CPI-SS0EF0750A7	0.651	0.233	1.578	0.788	1.56	0.457	1.678	1.651	1.802	0.751	0.267	0.285	0.528
NGFR	P08138	False	TNR16_HUMAN		CPI-SS09F430F14	0.0	0.0	0.004	0.0	0.006	0.0	0.003	0.001	0.0	0.0	0.004	0.0	0.0
NOTCH2	Q04721	False	NOTC2_HUMAN		CPI-SS003C9A532	0.0	0.095	0.067	0.062	0.047	0.038	0.061	0.053	0.047	0.0	0.054	0.09	0.039
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS0607D1101	0.272	0.03	0.025	0.015	0.027	0.02	0.047	0.015	0.019	0.751	0.02	0.028	0.023
NOTCH4	Q99466	False	NOTC4_HUMAN		CPI-SS09D379E5B	0.0	0.017	0.0	0.0	0.002	0.0	0.003	0.0	0.002	0.0	0.002	0.006	0.0
NOTCH2	Q04721	False	NOTC2_HUMAN		CPI-SS02770D68F	0.0	0.095	0.067	0.062	0.047	0.038	0.061	0.053	0.047	0.0	0.054	0.09	0.039
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS08C3D27F7	0.272	0.03	0.025	0.015	0.027	0.02	0.047	0.015	0.019	0.751	0.02	0.028	0.023
NOTCH4	Q99466	False	NOTC4_HUMAN		CPI-SS05FEE05CB	0.0	0.017	0.0	0.0	0.002	0.0	0.003	0.0	0.002	0.0	0.002	0.006	0.0
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS0B87FE6E0	0.272	0.03	0.025	0.015	0.027	0.02	0.047	0.015	0.019	0.751	0.02	0.028	0.023
CD46	P15529	False	MCP_HUMAN		CPI-SS01A07768A	0.794	0.408	0.453	0.341	0.368	0.381	0.349	0.386	0.383	1.175	0.329	0.428	0.496
GPR25	O00155	False	GPR25_HUMAN		CPI-SS0EECD7662	0.0	0.024	0.006	0.0	0.096	0.006	0.204	0.004	0.108	0.0	0.0	0.032	0.005
CCL3	P10147	False	CCL3_HUMAN		CPI-SS08BFF4F9B	0.0	0.0	0.492	0.015	0.095	0.008	0.101	0.15	0.087	0.0	0.007	0.3	0.065
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0F6B529A1	4.222	3.828	4.042	3.774	4.102	1.39	3.718	4.033	4.336	0.0	1.17	3.502	3.359
CCL3L1	P16619	False	CL3L1_HUMAN		CPI-SS0C6311D2D	0.0	0.032	0.217	0.019	0.112	0.024	0.076	0.194	0.038	0.0	0.035	0.028	0.041
CCL3	P10147	False	CCL3_HUMAN		CPI-SS08DA48A5A	0.0	0.0	0.492	0.015	0.095	0.008	0.101	0.15	0.087	0.0	0.007	0.3	0.065
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0A021DB6E	4.222	3.828	4.042	3.774	4.102	1.39	3.718	4.033	4.336	0.0	1.17	3.502	3.359
CCL3L1	P16619	False	CL3L1_HUMAN		CPI-SS0817CE2B3	0.0	0.032	0.217	0.019	0.112	0.024	0.076	0.194	0.038	0.0	0.035	0.028	0.041
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0F3BF2B34	4.222	3.828	4.042	3.774	4.102	1.39	3.718	4.033	4.336	0.0	1.17	3.502	3.359
CCL25	O15444	False	CCL25_HUMAN		CPI-SS0CCD89E02	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.002	0.0	0.0
CXCL13	O43927	False	CXL13_HUMAN		CPI-SS083B5EBAB	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0EA05941A	4.222	3.828	4.042	3.774	4.102	1.39	3.718	4.033	4.336	0.0	1.17	3.502	3.359
CCL3L1	P16619	False	CL3L1_HUMAN		CPI-SS04641FE5F	0.0	0.032	0.217	0.019	0.112	0.024	0.076	0.194	0.038	0.0	0.035	0.028	0.041
PF4	P02776	False	PLF4_HUMAN		CPI-SS01A6823FA	0.0	0.0	0.0	0.0	0.005	0.002	0.023	0.003	0.021	0.0	0.003	0.006	0.0
PPBP	P02775	False	CXCL7_HUMAN		CPI-SS07AB1C381	0.0	0.0	0.038	0.054	0.029	0.013	0.096	0.015	0.094	0.0	0.004	0.0	0.017
CXCL3	P19876	False	CXCL3_HUMAN		CPI-SS0D04AE221	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0
PPBP	P02775	False	CXCL7_HUMAN		CPI-SS0C491A3C1	0.0	0.0	0.038	0.054	0.029	0.013	0.096	0.015	0.094	0.0	0.004	0.0	0.017
CXCL3	P19876	False	CXCL3_HUMAN		CPI-SS09185EA8F	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0
CCL25	O15444	False	CCL25_HUMAN		CPI-SS039863E62	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.002	0.0	0.0
CXCL13	O43927	False	CXL13_HUMAN		CPI-SS0C2437E0D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0
NPPA	P01160	False	ANF_HUMAN		CPI-SS0230EE330	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.001	0.0	0.0	0.0	0.0	0.0
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0419B80C4	0.0	0.026	0.138	0.1	0.121	0.107	0.13	0.116	0.261	0.0	0.077	0.184	0.077
