gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	CD8+ CD73+ regulatory T cells	CD8+ NK-like TEMRA cells	CD8+ NK-like early effector T cells	CD8+ TEMRA cells	CD8+ central memory T cells	CD8+ cycling effector T cells	CD8+ effector memory T cells 1	CD8+ effector memory T cells 2	CD8+ exhausted T cells	CD8+ naive T cells	Gamma Delta T cells	MAIT cells
DPP4	P27487	False	DPP4_HUMAN		CPI-SS0F52745F3	0.074	0.008	0.188	0.025	0.138	0.04	0.037	0.038	0.0	0.164	0.025	0.443
FCGR2A	P12318	False	FCG2A_HUMAN		CPI-SS0C17BB772	0.0	0.009	0.0	0.002	0.0	0.014	0.004	0.007	0.0	0.0	0.0	0.0
PDCD1	Q15116	False	PDCD1_HUMAN		CPI-SS016EE0084	0.019	0.066	0.072	0.124	0.075	0.237	0.15	0.276	0.174	0.016	0.0	0.078
CD80	P33681	False	CD80_HUMAN		CPI-SS08F13AD5C	0.0	0.0	0.0	0.003	0.005	0.0	0.008	0.015	0.0	0.0	0.0	0.0
PDCD1	Q15116	False	PDCD1_HUMAN		CPI-SS0F5B6B186	0.019	0.066	0.072	0.124	0.075	0.237	0.15	0.276	0.174	0.016	0.0	0.078
HLA-DPB1	HLADPB1	False	HLADPB1		CPI-SS076BC3BA6	0.467	1.795	1.312	1.874	1.133	1.391	1.779	1.872	0.431	0.373	1.059	0.888
ADGRL1	O94910	False	AGRL1_HUMAN		CPI-SS09375CA29	0.012	0.0	0.0	0.004	0.004	0.0	0.004	0.0	0.0	0.015	0.0	0.0
ERBB3	P21860	False	ERBB3_HUMAN		CPI-SS0BF9FA3F2	0.015	0.0	0.0	0.001	0.0	0.0	0.001	0.0	0.0	0.006	0.0	0.008
CD74	P04233	False	HG2A_HUMAN		CPI-SS0ABC5C1B8	1.218	3.09	2.662	2.858	2.257	3.162	3.371	3.541	2.767	1.247	2.341	2.48
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SS0D4C221B8	0.048	0.014	0.044	0.036	0.024	0.026	0.048	0.073	0.022	0.013	0.057	0.041
TNFRSF1A	P19438	False	TNR1A_HUMAN		CPI-SS0DA033F03	0.17	0.226	0.286	0.295	0.176	0.269	0.191	0.255	0.434	0.133	0.371	0.329
NTRK1	P04629	False	NTRK1_HUMAN		CPI-SS054D158CC	0.0	0.0	0.011	0.002	0.0	0.0	0.001	0.0	0.021	0.006	0.0	0.0
TNFRSF1B	P20333	False	TNR1B_HUMAN		CPI-SS0C4E86714	0.127	0.43	0.284	0.473	0.184	0.398	0.243	0.389	1.253	0.068	0.441	0.28
CD74	P04233	False	HG2A_HUMAN		CPI-SS0302E8E8F	1.218	3.09	2.662	2.858	2.257	3.162	3.371	3.541	2.767	1.247	2.341	2.48
NTRK1	P04629	False	NTRK1_HUMAN		CPI-SS0E6E8A727	0.0	0.0	0.011	0.002	0.0	0.0	0.001	0.0	0.021	0.006	0.0	0.0
CD44	P16070	False	CD44_HUMAN		CPI-SS0632A027A	0.625	0.893	0.82	0.678	0.826	0.788	0.844	0.938	1.166	0.597	0.258	0.778
HLA-DPB1	HLADPB1	False	HLADPB1		CPI-SS05D23BCE8	0.467	1.795	1.312	1.874	1.133	1.391	1.779	1.872	0.431	0.373	1.059	0.888
TNFRSF13B	O14836	False	TR13B_HUMAN		CPI-SS03C51D352	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TFRC	P02786	False	TFR1_HUMAN		CPI-SS03133B4F2	0.0	0.072	0.106	0.053	0.043	0.067	0.058	0.054	0.144	0.019	0.061	0.006
CD40	P25942	False	TNR5_HUMAN		CPI-SS0F00D756A	0.011	0.008	0.017	0.008	0.002	0.0	0.009	0.0	0.0	0.018	0.076	0.009
TNFRSF13C	Q96RJ3	False	TR13C_HUMAN		CPI-SS09648FAA9	0.016	0.018	0.016	0.003	0.005	0.0	0.005	0.007	0.0	0.011	0.0	0.028
CD74	P04233	False	HG2A_HUMAN		CPI-SS09808DEAE	1.218	3.09	2.662	2.858	2.257	3.162	3.371	3.541	2.767	1.247	2.341	2.48
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SS09C4FCB90	0.048	0.014	0.044	0.036	0.024	0.026	0.048	0.073	0.022	0.013	0.057	0.041
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SS0E9A581F8	0.048	0.014	0.044	0.036	0.024	0.026	0.048	0.073	0.022	0.013	0.057	0.041
TNFRSF1A	P19438	False	TNR1A_HUMAN		CPI-SS0A4F27388	0.17	0.226	0.286	0.295	0.176	0.269	0.191	0.255	0.434	0.133	0.371	0.329
TNFRSF10B	O14763	False	TR10B_HUMAN		CPI-SS0049FD74F	0.047	0.01	0.014	0.019	0.018	0.021	0.024	0.013	0.0	0.016	0.039	0.017
TNFRSF6B	O95407	False	TNF6B_HUMAN		CPI-SS00086659A	0.0	0.0	0.0	0.002	0.0	0.0	0.001	0.0	0.0	0.006	0.0	0.0
FAS	P25445	False	TNR6_HUMAN		CPI-SS03A0C857B	0.114	0.31	0.252	0.256	0.239	0.316	0.316	0.423	0.227	0.026	0.115	0.225
NTRK1	P04629	False	NTRK1_HUMAN		CPI-SS0B1AB068C	0.0	0.0	0.011	0.002	0.0	0.0	0.001	0.0	0.021	0.006	0.0	0.0
NTRK1	P04629	False	NTRK1_HUMAN		CPI-SS0391D4602	0.0	0.0	0.011	0.002	0.0	0.0	0.001	0.0	0.021	0.006	0.0	0.0
ADORA2A	P29274	False	AA2AR_HUMAN		CPI-SS00A6D366F	0.065	0.081	0.128	0.106	0.076	0.098	0.105	0.148	0.346	0.075	0.039	0.103
NTRK1	P04629	False	NTRK1_HUMAN		CPI-SS05D1A6BEF	0.0	0.0	0.011	0.002	0.0	0.0	0.001	0.0	0.021	0.006	0.0	0.0
FLT1	P17948	False	VGFR1_HUMAN		CPI-SS0E61DB5DF	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0
FLT1	P17948	False	VGFR1_HUMAN		CPI-SS0947A8549	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0
ADRB2	P07550	False	ADRB2_HUMAN		CPI-SS098425155	0.124	0.283	0.189	0.326	0.055	0.157	0.173	0.188	0.022	0.009	0.339	0.313
HLA-A	HLAA	False	HLAA		CPI-SS0CBAA9BCC	3.409	3.889	3.758	3.942	3.502	3.519	3.798	3.836	3.314	3.064	3.902	3.64
HLA-F	P30511	False	HLAF_HUMAN		CPI-SS048242083	0.892	1.178	1.173	1.244	0.942	0.984	1.108	1.072	0.997	0.803	1.083	1.187
CCL4	P13236	False	CCL4_HUMAN		CPI-SS0268D47AD	0.08	1.385	0.447	1.246	0.071	0.795	0.724	0.967	0.7	0.004	1.313	0.455
CCL4L2	Q8NHW4	False	CC4L_HUMAN		CPI-SS0A866903F	0.016	0.668	0.183	0.501	0.017	0.211	0.245	0.244	0.016	0.004	0.388	0.078
CCL4L2	Q8NHW4	False	CC4L_HUMAN		CPI-SS0A42A3690	0.016	0.668	0.183	0.501	0.017	0.211	0.245	0.244	0.016	0.004	0.388	0.078
TNF	P01375	False	TNFA_HUMAN		CPI-SS03FA58286	0.011	0.024	0.043	0.041	0.015	0.027	0.023	0.007	0.0	0.002	0.033	0.132
HLA-F	P30511	False	HLAF_HUMAN		CPI-SS0BDD10277	0.892	1.178	1.173	1.244	0.942	0.984	1.108	1.072	0.997	0.803	1.083	1.187
HLA-B	HLAB	False	HLAB		CPI-SS0987A89AE	3.904	4.341	4.217	4.399	3.982	3.836	4.271	4.198	3.689	3.539	4.253	4.208
HLA-F	P30511	False	HLAF_HUMAN		CPI-SS0A76A8E97	0.892	1.178	1.173	1.244	0.942	0.984	1.108	1.072	0.997	0.803	1.083	1.187
CD1D	P15813	False	CD1D_HUMAN		CPI-SS0EAB03260	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HLA-G	P17693	False	HLAG_HUMAN		CPI-SS0DBA81CCF	0.028	0.009	0.014	0.018	0.009	0.027	0.014	0.008	0.033	0.012	0.04	0.008
HLA-F	P30511	False	HLAF_HUMAN		CPI-SS00150FB64	0.892	1.178	1.173	1.244	0.942	0.984	1.108	1.072	0.997	0.803	1.083	1.187
HLA-G	P17693	False	HLAG_HUMAN		CPI-SS05CE87F88	0.028	0.009	0.014	0.018	0.009	0.027	0.014	0.008	0.033	0.012	0.04	0.008
CCL4	P13236	False	CCL4_HUMAN		CPI-SS0D1D95883	0.08	1.385	0.447	1.246	0.071	0.795	0.724	0.967	0.7	0.004	1.313	0.455
CCL3	P10147	False	CCL3_HUMAN		CPI-SS0C090A257	0.0	0.29	0.022	0.063	0.0	0.211	0.033	0.059	0.056	0.0	0.355	0.013
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0B01D306C	3.449	4.195	3.924	4.163	2.429	3.458	3.98	4.157	2.385	0.638	3.752	3.023
CCL4	P13236	False	CCL4_HUMAN		CPI-SS0795802F6	0.08	1.385	0.447	1.246	0.071	0.795	0.724	0.967	0.7	0.004	1.313	0.455
CSF1	P09603	False	CSF1_HUMAN		CPI-SS03105D292	0.012	0.006	0.0	0.004	0.002	0.0	0.011	0.004	0.025	0.004	0.0	0.017
CCL4	P13236	False	CCL4_HUMAN		CPI-SS05BA6D9C3	0.08	1.385	0.447	1.246	0.071	0.795	0.724	0.967	0.7	0.004	1.313	0.455
CCL4	P13236	False	CCL4_HUMAN		CPI-SS008F83E02	0.08	1.385	0.447	1.246	0.071	0.795	0.724	0.967	0.7	0.004	1.313	0.455
CCL3	P10147	False	CCL3_HUMAN		CPI-SS076D8415B	0.0	0.29	0.022	0.063	0.0	0.211	0.033	0.059	0.056	0.0	0.355	0.013
IGF1	P05019	False	IGF1_HUMAN		CPI-SS0E41702C1	0.025	0.0	0.0	0.0	0.002	0.0	0.002	0.003	0.019	0.0	0.0	0.0
GRN	P28799	False	GRN_HUMAN		CPI-SS07CCAD9BF	0.064	0.071	0.111	0.099	0.11	0.116	0.077	0.123	0.146	0.086	0.034	0.093
COPA	P53621	False	COPA_HUMAN		CPI-SS04F3A1E5C	0.076	0.194	0.188	0.185	0.174	0.197	0.2	0.185	0.294	0.141	0.32	0.222
CD200	P41217	False	OX2G_HUMAN		CPI-SS0A9E884E0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.023	0.0	0.0	0.0
KLRB1	Q12918	False	KLRB1_HUMAN		CPI-SS0E292C126	0.59	0.361	0.165	0.334	0.097	0.199	0.199	0.159	0.454	0.025	1.651	1.817
FAM3C	Q92520	False	FAM3C_HUMAN		CPI-SS02A0FF87F	0.071	0.11	0.072	0.066	0.08	0.099	0.072	0.109	0.233	0.07	0.247	0.138
TNF	P01375	False	TNFA_HUMAN		CPI-SS0F8EFEECF	0.011	0.024	0.043	0.041	0.015	0.027	0.023	0.007	0.0	0.002	0.033	0.132
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0BD9F32BA	0.0	0.131	0.135	0.1	0.093	0.127	0.088	0.22	0.417	0.046	0.229	0.049
TNF	P01375	False	TNFA_HUMAN		CPI-SS02EBC1BB0	0.011	0.024	0.043	0.041	0.015	0.027	0.023	0.007	0.0	0.002	0.033	0.132
DLL1	O00548	False	DLL1_HUMAN		CPI-SS04A5D6B6F	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0
TNF	P01375	False	TNFA_HUMAN		CPI-SS0B81F1BF5	0.011	0.024	0.043	0.041	0.015	0.027	0.023	0.007	0.0	0.002	0.033	0.132
PLXNB2	O15031	False	PLXB2_HUMAN		CPI-SS0AB21032D	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.006	0.0	0.011	0.0	0.007
TNF	P01375	False	TNFA_HUMAN		CPI-SS09C917D22	0.011	0.024	0.043	0.041	0.015	0.027	0.023	0.007	0.0	0.002	0.033	0.132
TNF	P01375	False	TNFA_HUMAN		CPI-SS03B8E2D7A	0.011	0.024	0.043	0.041	0.015	0.027	0.023	0.007	0.0	0.002	0.033	0.132
ICOSLG	O75144	False	ICOSL_HUMAN		CPI-SS0E4B1484B	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.002	0.0	0.0
TNF	P01375	False	TNFA_HUMAN		CPI-SS04B4619D0	0.011	0.024	0.043	0.041	0.015	0.027	0.023	0.007	0.0	0.002	0.033	0.132
LTA	P01374	False	TNFB_HUMAN		CPI-SS084BE3E4B	0.127	0.049	0.054	0.038	0.068	0.014	0.043	0.069	0.058	0.125	0.098	0.134
TNFSF13	O75888	False	TNF13_HUMAN		CPI-SS0F9B3B259	0.0	0.0	0.012	0.007	0.002	0.011	0.002	0.003	0.0	0.008	0.0	0.008
TNF	P01375	False	TNFA_HUMAN		CPI-SS08B7D54A3	0.011	0.024	0.043	0.041	0.015	0.027	0.023	0.007	0.0	0.002	0.033	0.132
TNFSF13	O75888	False	TNF13_HUMAN		CPI-SS0A83A7E30	0.0	0.0	0.012	0.007	0.002	0.011	0.002	0.003	0.0	0.008	0.0	0.008
TNF	P01375	False	TNFA_HUMAN		CPI-SS0E7D5974D	0.011	0.024	0.043	0.041	0.015	0.027	0.023	0.007	0.0	0.002	0.033	0.132
LTA	P01374	False	TNFB_HUMAN		CPI-SS07D9A48A2	0.127	0.049	0.054	0.038	0.068	0.014	0.043	0.069	0.058	0.125	0.098	0.134
TNF	P01375	False	TNFA_HUMAN		CPI-SS048A2311A	0.011	0.024	0.043	0.041	0.015	0.027	0.023	0.007	0.0	0.002	0.033	0.132
LTA	P01374	False	TNFB_HUMAN		CPI-SS0D5C54214	0.127	0.049	0.054	0.038	0.068	0.014	0.043	0.069	0.058	0.125	0.098	0.134
TNFSF10	P50591	False	TNF10_HUMAN		CPI-SS0DEDA3567	0.191	0.17	0.372	0.187	0.448	0.285	0.248	0.4	0.243	0.126	0.209	0.325
TNF	P01375	False	TNFA_HUMAN		CPI-SS034B442CE	0.011	0.024	0.043	0.041	0.015	0.027	0.023	0.007	0.0	0.002	0.033	0.132
CXCR3	P49682	False	CXCR3_HUMAN		CPI-SS0F8C664D9	0.585	0.308	1.051	0.417	0.423	0.734	0.621	0.734	1.078	0.197	0.218	0.392
CCR6	P51684	False	CCR6_HUMAN		CPI-SS07F015051	0.154	0.0	0.018	0.0	0.028	0.0	0.004	0.003	0.0	0.0	0.037	0.357
TNFRSF13B	O14836	False	TR13B_HUMAN		CPI-SS0DCA69916	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TNFRSF13B	O14836	False	TR13B_HUMAN		CPI-SS0AA47D179	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CD27	P26842	False	CD27_HUMAN		CPI-SS0D4BF6CA3	0.74	0.501	0.827	0.471	0.931	0.911	1.094	1.053	2.59	0.972	0.0	0.64
CD40	P25942	False	TNR5_HUMAN		CPI-SS083296041	0.011	0.008	0.017	0.008	0.002	0.0	0.009	0.0	0.0	0.018	0.076	0.009
CD40	P25942	False	TNR5_HUMAN		CPI-SS05834E385	0.011	0.008	0.017	0.008	0.002	0.0	0.009	0.0	0.0	0.018	0.076	0.009
HLA-DQB2	HLADQB2	False	HLADQB2		CPI-SS026776C89	0.0	0.0	0.04	0.04	0.037	0.057	0.04	0.037	0.0	0.008	0.0	0.009
HLA-DRB1	HLADRB1	False	HLADRB1		CPI-SS0EF0750A7	0.145	1.871	1.364	1.843	1.039	1.626	1.914	2.085	0.54	0.097	0.913	0.741
NGFR	P08138	False	TNR16_HUMAN		CPI-SS09F430F14	0.0	0.0	0.0	0.003	0.004	0.0	0.001	0.0	0.0	0.0	0.0	0.0
NOTCH2	Q04721	False	NOTC2_HUMAN		CPI-SS07D71C546	0.073	0.077	0.015	0.06	0.066	0.043	0.059	0.099	0.016	0.062	0.055	0.063
NOTCH2	Q04721	False	NOTC2_HUMAN		CPI-SS003C9A532	0.073	0.077	0.015	0.06	0.066	0.043	0.059	0.099	0.016	0.062	0.055	0.063
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS0607D1101	0.0	0.014	0.027	0.023	0.006	0.082	0.026	0.04	0.102	0.01	0.0	0.016
NOTCH4	Q99466	False	NOTC4_HUMAN		CPI-SS09D379E5B	0.0	0.0	0.0	0.002	0.003	0.0	0.002	0.0	0.0	0.003	0.0	0.0
NOTCH2	Q04721	False	NOTC2_HUMAN		CPI-SS02770D68F	0.073	0.077	0.015	0.06	0.066	0.043	0.059	0.099	0.016	0.062	0.055	0.063
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS08C3D27F7	0.0	0.014	0.027	0.023	0.006	0.082	0.026	0.04	0.102	0.01	0.0	0.016
NOTCH4	Q99466	False	NOTC4_HUMAN		CPI-SS05FEE05CB	0.0	0.0	0.0	0.002	0.003	0.0	0.002	0.0	0.0	0.003	0.0	0.0
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS0B87FE6E0	0.0	0.014	0.027	0.023	0.006	0.082	0.026	0.04	0.102	0.01	0.0	0.016
CD46	P15529	False	MCP_HUMAN		CPI-SS01A07768A	0.316	0.311	0.382	0.389	0.42	0.241	0.387	0.378	0.584	0.333	0.165	0.389
GPR25	O00155	False	GPR25_HUMAN		CPI-SS0EECD7662	0.0	0.017	0.024	0.022	0.006	0.0	0.002	0.003	0.0	0.0	0.145	0.027
CCL3	P10147	False	CCL3_HUMAN		CPI-SS08BFF4F9B	0.0	0.29	0.022	0.063	0.0	0.211	0.033	0.059	0.056	0.0	0.355	0.013
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0F6B529A1	3.449	4.195	3.924	4.163	2.429	3.458	3.98	4.157	2.385	0.638	3.752	3.023
CCL3L1	P16619	False	CL3L1_HUMAN		CPI-SS0C6311D2D	0.0	0.037	0.0	0.016	0.0	0.07	0.015	0.012	0.0	0.0	0.0	0.009
CCL3	P10147	False	CCL3_HUMAN		CPI-SS08DA48A5A	0.0	0.29	0.022	0.063	0.0	0.211	0.033	0.059	0.056	0.0	0.355	0.013
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0A021DB6E	3.449	4.195	3.924	4.163	2.429	3.458	3.98	4.157	2.385	0.638	3.752	3.023
CCL3L1	P16619	False	CL3L1_HUMAN		CPI-SS0817CE2B3	0.0	0.037	0.0	0.016	0.0	0.07	0.015	0.012	0.0	0.0	0.0	0.009
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0F3BF2B34	3.449	4.195	3.924	4.163	2.429	3.458	3.98	4.157	2.385	0.638	3.752	3.023
CCL25	O15444	False	CCL25_HUMAN		CPI-SS0CCD89E02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0EA05941A	3.449	4.195	3.924	4.163	2.429	3.458	3.98	4.157	2.385	0.638	3.752	3.023
CCL3L1	P16619	False	CL3L1_HUMAN		CPI-SS04641FE5F	0.0	0.037	0.0	0.016	0.0	0.07	0.015	0.012	0.0	0.0	0.0	0.009
CXCL10	P02778	False	CXL10_HUMAN		CPI-SS0FDAB7BA8	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.002	0.0	0.0
CXCL2	P19875	False	CXCL2_HUMAN		CPI-SS0CDAC688B	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PF4	P02776	False	PLF4_HUMAN		CPI-SS01A6823FA	0.0	0.0	0.0	0.003	0.0	0.011	0.001	0.0	0.0	0.0	0.0	0.0
CXCL10	P02778	False	CXL10_HUMAN		CPI-SS080683E15	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.002	0.0	0.0
CXCL2	P19875	False	CXCL2_HUMAN		CPI-SS040630206	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PPBP	P02775	False	CXCL7_HUMAN		CPI-SS07AB1C381	0.0	0.0	0.012	0.008	0.004	0.0	0.005	0.015	0.0	0.007	0.0	0.041
CXCL3	P19876	False	CXCL3_HUMAN		CPI-SS0D04AE221	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CXCL2	P19875	False	CXCL2_HUMAN		CPI-SS0F562FEA5	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PPBP	P02775	False	CXCL7_HUMAN		CPI-SS0C491A3C1	0.0	0.0	0.012	0.008	0.004	0.0	0.005	0.015	0.0	0.007	0.0	0.041
CXCL3	P19876	False	CXCL3_HUMAN		CPI-SS09185EA8F	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
